Song,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Aether and Light,Varien,spotify:track:5bgy0uqf1gukZXiiqzFNpD,0.646,0.799,5,-6.929,0,0.0491,0.0633,0.331,0.0946,0.0983,100.024,audio_features,5bgy0uqf1gukZXiiqzFNpD,https://api.spotify.com/v1/tracks/5bgy0uqf1gukZXiiqzFNpD,https://api.spotify.com/v1/audio-analysis/5bgy0uqf1gukZXiiqzFNpD,230165,4
Barracuda,Noisestorm,spotify:track:6Yx3Lhue8OBAAj3q2PBrXU,0.592,0.993,1,-2.414,1,0.166,9.02e-05,0.115,0.222,0.111,130.057,audio_features,6Yx3Lhue8OBAAj3q2PBrXU,https://api.spotify.com/v1/tracks/6Yx3Lhue8OBAAj3q2PBrXU,https://api.spotify.com/v1/audio-analysis/6Yx3Lhue8OBAAj3q2PBrXU,262615,4
Snowcone,deadmau5,spotify:track:5zxuMu1ytdB77KjJjiMDCT,0.726,0.563,11,-8.043,0,0.238,0.096,0.871,0.263,0.134,98.007,audio_features,5zxuMu1ytdB77KjJjiMDCT,https://api.spotify.com/v1/tracks/5zxuMu1ytdB77KjJjiMDCT,https://api.spotify.com/v1/audio-analysis/5zxuMu1ytdB77KjJjiMDCT,314423,4
Breakdown VIP,Noisestorm,spotify:track:0lFrqu4LpZDtjfiOdASyu1,0.314,0.94,11,-4.238,1,0.115,4.64e-05,0.011,0.317,0.194,173.915,audio_features,0lFrqu4LpZDtjfiOdASyu1,https://api.spotify.com/v1/tracks/0lFrqu4LpZDtjfiOdASyu1,https://api.spotify.com/v1/audio-analysis/0lFrqu4LpZDtjfiOdASyu1,234344,4
Exogenesis,Rogue,spotify:track:7lZni8yv8FMx7120C7uF1V,0.559,0.915,6,-4.037,0,0.0961,0.00111,0.039,0.0852,0.0507,140.081,audio_features,7lZni8yv8FMx7120C7uF1V,https://api.spotify.com/v1/tracks/7lZni8yv8FMx7120C7uF1V,https://api.spotify.com/v1/audio-analysis/7lZni8yv8FMx7120C7uF1V,305644,4
Nightmare,Timmy Trumpet,spotify:track:5Tsa7v0hU5szTwUWG1tlie,0.812,0.966,7,-2.514,1,0.0733,0.00963,0.846,0.0303,0.612,127.981,audio_features,5Tsa7v0hU5szTwUWG1tlie,https://api.spotify.com/v1/tracks/5Tsa7v0hU5szTwUWG1tlie,https://api.spotify.com/v1/audio-analysis/5Tsa7v0hU5szTwUWG1tlie,247979,4
Eyes Wide Open,Gotye,spotify:track:5y1M7jCvL2Pi6IcxypEl9V,0.602,0.873,5,-6.143,1,0.038,0.195,0.0143,0.129,0.661,138.87,audio_features,5y1M7jCvL2Pi6IcxypEl9V,https://api.spotify.com/v1/tracks/5y1M7jCvL2Pi6IcxypEl9V,https://api.spotify.com/v1/audio-analysis/5y1M7jCvL2Pi6IcxypEl9V,191253,4
Smoke And Mirrors,Gotye,spotify:track:03s76J4zqmJlO9priiEaR5,0.376,0.898,10,-6.298,0,0.136,0.109,0.201,0.3,0.612,186.226,audio_features,03s76J4zqmJlO9priiEaR5,https://api.spotify.com/v1/tracks/03s76J4zqmJlO9priiEaR5,https://api.spotify.com/v1/audio-analysis/03s76J4zqmJlO9priiEaR5,313144,3
State Of The Art,Gotye,spotify:track:1uafcL4z5cuegXc9AP2Sgv,0.708,0.7,0,-6.155,0,0.0348,0.0797,0.000281,0.506,0.675,134.998,audio_features,1uafcL4z5cuegXc9AP2Sgv,https://api.spotify.com/v1/tracks/1uafcL4z5cuegXc9AP2Sgv,https://api.spotify.com/v1/audio-analysis/1uafcL4z5cuegXc9AP2Sgv,322227,4
"Don’t Worry, We’ll Be Watching You",Gotye,spotify:track:2YCMtQoNKqsXGyQut6Gywn,0.823,0.331,11,-16.228,0,0.0549,0.119,0.842,0.161,0.614,138.051,audio_features,2YCMtQoNKqsXGyQut6Gywn,https://api.spotify.com/v1/tracks/2YCMtQoNKqsXGyQut6Gywn,https://api.spotify.com/v1/audio-analysis/2YCMtQoNKqsXGyQut6Gywn,198520,4
Chandelier,Sia,spotify:track:2i8EtsynIudUUaLPUkO6rJ,0.286,0.784,1,-2.873,1,0.0749,0.0163,6.45e-05,0.0714,0.618,173.798,audio_features,2i8EtsynIudUUaLPUkO6rJ,https://api.spotify.com/v1/tracks/2i8EtsynIudUUaLPUkO6rJ,https://api.spotify.com/v1/audio-analysis/2i8EtsynIudUUaLPUkO6rJ,216120,4
Free the Animal,Sia,spotify:track:4SYlVvviiojLmGV7G1i0bm,0.675,0.877,5,-4.945,1,0.167,0.056,0.000107,0.0836,0.383,109.039,audio_features,4SYlVvviiojLmGV7G1i0bm,https://api.spotify.com/v1/tracks/4SYlVvviiojLmGV7G1i0bm,https://api.spotify.com/v1/audio-analysis/4SYlVvviiojLmGV7G1i0bm,264867,4
Red Sky,Moon Hooch,spotify:track:3aATgCHilZcGav6LUdR42g,0.622,0.709,11,-7.549,0,0.0732,0.000624,0.223,0.105,0.696,127.04,audio_features,3aATgCHilZcGav6LUdR42g,https://api.spotify.com/v1/tracks/3aATgCHilZcGav6LUdR42g,https://api.spotify.com/v1/audio-analysis/3aATgCHilZcGav6LUdR42g,206115,4
Walkway Blues,M83,spotify:track:1m82vZ7G9BIhXwFxNJV7gn,0.542,0.614,1,-7.07,0,0.0387,0.0101,0.149,0.091,0.314,149.906,audio_features,1m82vZ7G9BIhXwFxNJV7gn,https://api.spotify.com/v1/tracks/1m82vZ7G9BIhXwFxNJV7gn,https://api.spotify.com/v1/audio-analysis/1m82vZ7G9BIhXwFxNJV7gn,289120,4
Bibi The Dog,M83,spotify:track:00StMbbH8TQXrCd5IpySdA,0.618,0.768,9,-7.028,1,0.0403,0.00217,0.236,0.0809,0.808,102.98,audio_features,00StMbbH8TQXrCd5IpySdA,https://api.spotify.com/v1/tracks/00StMbbH8TQXrCd5IpySdA,https://api.spotify.com/v1/audio-analysis/00StMbbH8TQXrCd5IpySdA,234000,4
Moon Crystal,M83,spotify:track:2rK764m1Er1x8FFNDkd9Cv,0.478,0.705,2,-7.255,1,0.0282,0.00571,0.932,0.135,0.703,90.041,audio_features,2rK764m1Er1x8FFNDkd9Cv,https://api.spotify.com/v1/tracks/2rK764m1Er1x8FFNDkd9Cv,https://api.spotify.com/v1/audio-analysis/2rK764m1Er1x8FFNDkd9Cv,146600,4
Road Blaster,M83,spotify:track:5K0Hxfaj9ozsDXpm1D6OuU,0.553,0.83,0,-6.327,1,0.0323,0.000453,0.547,0.123,0.292,133.947,audio_features,5K0Hxfaj9ozsDXpm1D6OuU,https://api.spotify.com/v1/tracks/5K0Hxfaj9ozsDXpm1D6OuU,https://api.spotify.com/v1/audio-analysis/5K0Hxfaj9ozsDXpm1D6OuU,261573,4
Tension,M83,spotify:track:6AoLvw3IDsAlQ6HheTYCFG,0.414,0.386,6,-7.594,1,0.0298,0.00642,0.969,0.126,0.176,113.931,audio_features,6AoLvw3IDsAlQ6HheTYCFG,https://api.spotify.com/v1/tracks/6AoLvw3IDsAlQ6HheTYCFG,https://api.spotify.com/v1/audio-analysis/6AoLvw3IDsAlQ6HheTYCFG,125520,4
Backup,Topi,spotify:track:00mHRbwxVd2EQPY3cHVHoc,0.712,0.959,10,-3.601,0,0.0704,0.00106,0.00369,0.137,0.223,110.022,audio_features,00mHRbwxVd2EQPY3cHVHoc,https://api.spotify.com/v1/tracks/00mHRbwxVd2EQPY3cHVHoc,https://api.spotify.com/v1/audio-analysis/00mHRbwxVd2EQPY3cHVHoc,183273,4
Step It,Topi,spotify:track:1AvKsnfJnzcElccQeo6GSy,0.617,0.998,1,-1.467,1,0.186,0.0118,0.697,0.41,0.295,159.971,audio_features,1AvKsnfJnzcElccQeo6GSy,https://api.spotify.com/v1/tracks/1AvKsnfJnzcElccQeo6GSy,https://api.spotify.com/v1/audio-analysis/1AvKsnfJnzcElccQeo6GSy,192000,4
Shlappy,Mr. Bill,spotify:track:7614qZrkomU1ml2NoW7CeH,0.681,0.815,7,-6.396,0,0.136,0.1,0.597,0.201,0.553,147.999,audio_features,7614qZrkomU1ml2NoW7CeH,https://api.spotify.com/v1/tracks/7614qZrkomU1ml2NoW7CeH,https://api.spotify.com/v1/audio-analysis/7614qZrkomU1ml2NoW7CeH,210811,4
Sinaptic Signichure,Mr. Bill,spotify:track:1i8FBDGvWHv4uIZjMPBKwZ,0.763,0.769,4,-5.033,0,0.171,0.134,0.168,0.0651,0.5,100.024,audio_features,1i8FBDGvWHv4uIZjMPBKwZ,https://api.spotify.com/v1/tracks/1i8FBDGvWHv4uIZjMPBKwZ,https://api.spotify.com/v1/audio-analysis/1i8FBDGvWHv4uIZjMPBKwZ,235200,4
Cheyah - Original Mix,Mr. Bill,spotify:track:1N4IRdO4PvKPamdvoZSXCW,0.418,0.747,1,-6.32,0,0.139,0.0381,0.598,0.0633,0.92,147.764,audio_features,1N4IRdO4PvKPamdvoZSXCW,https://api.spotify.com/v1/tracks/1N4IRdO4PvKPamdvoZSXCW,https://api.spotify.com/v1/audio-analysis/1N4IRdO4PvKPamdvoZSXCW,322750,3
Bleeding Heart,Regina Spektor,spotify:track:4rrqEVg5znpZG7MJwC6PqD,0.565,0.461,0,-7.273,1,0.141,0.586,0.0,0.162,0.199,157.894,audio_features,4rrqEVg5znpZG7MJwC6PqD,https://api.spotify.com/v1/tracks/4rrqEVg5znpZG7MJwC6PqD,https://api.spotify.com/v1/audio-analysis/4rrqEVg5znpZG7MJwC6PqD,238933,4
Over You,SAFIA,spotify:track:6A4SBbKBuG3GEXSa0pRbq1,0.604,0.552,2,-6.686,1,0.087,0.0122,2.44e-06,0.135,0.549,177.964,audio_features,6A4SBbKBuG3GEXSa0pRbq1,https://api.spotify.com/v1/tracks/6A4SBbKBuG3GEXSa0pRbq1,https://api.spotify.com/v1/audio-analysis/6A4SBbKBuG3GEXSa0pRbq1,187915,4
Who's Got Your Love,Stonebank,spotify:track:0TMMhkR8nUDIG67Eo15Oj3,0.393,0.94,11,-3.924,0,0.279,0.00143,0.193,0.644,0.0463,170.02,audio_features,0TMMhkR8nUDIG67Eo15Oj3,https://api.spotify.com/v1/tracks/0TMMhkR8nUDIG67Eo15Oj3,https://api.spotify.com/v1/audio-analysis/0TMMhkR8nUDIG67Eo15Oj3,204706,4
Run to You,Pentatonix,spotify:track:1bukNCD9JEwNp235Ov0iZH,0.24,0.0622,0,-10.022,1,0.0327,0.858,0.0,0.104,0.176,85.495,audio_features,1bukNCD9JEwNp235Ov0iZH,https://api.spotify.com/v1/tracks/1bukNCD9JEwNp235Ov0iZH,https://api.spotify.com/v1/audio-analysis/1bukNCD9JEwNp235Ov0iZH,265893,1
Heavy As A Heartbreak,Just A Gent,spotify:track:1ZTYjLOgXPKftb71A6ZfTg,0.728,0.889,9,-4.368,0,0.0515,0.0227,0.00258,0.0715,0.232,150.104,audio_features,1ZTYjLOgXPKftb71A6ZfTg,https://api.spotify.com/v1/tracks/1ZTYjLOgXPKftb71A6ZfTg,https://api.spotify.com/v1/audio-analysis/1ZTYjLOgXPKftb71A6ZfTg,243226,4
Sounds Of Her Mind,Just A Gent,spotify:track:3HivSIXzkrz9d6k4kGwHCU,0.69,0.67,8,-5.267,0,0.0416,0.0673,6.26e-05,0.0761,0.0612,130.077,audio_features,3HivSIXzkrz9d6k4kGwHCU,https://api.spotify.com/v1/tracks/3HivSIXzkrz9d6k4kGwHCU,https://api.spotify.com/v1/audio-analysis/3HivSIXzkrz9d6k4kGwHCU,245639,4
Loaded,Just A Gent,spotify:track:5i8EUaXGsQHLXPIoaqZeIl,0.722,0.726,11,-6.29,0,0.0623,0.0123,0.000646,0.314,0.166,129.919,audio_features,5i8EUaXGsQHLXPIoaqZeIl,https://api.spotify.com/v1/tracks/5i8EUaXGsQHLXPIoaqZeIl,https://api.spotify.com/v1/audio-analysis/5i8EUaXGsQHLXPIoaqZeIl,208077,4
Rolling Dice,Just A Gent,spotify:track:6WajsNz9LLdhxIxfnhN2jC,0.588,0.72,2,-6.894,1,0.0831,0.0748,6.12e-05,0.0917,0.0776,117.935,audio_features,6WajsNz9LLdhxIxfnhN2jC,https://api.spotify.com/v1/tracks/6WajsNz9LLdhxIxfnhN2jC,https://api.spotify.com/v1/audio-analysis/6WajsNz9LLdhxIxfnhN2jC,287808,4
Phenomenon,Just A Gent,spotify:track:3nAI0nLDqgxUAFOShFSEXe,0.548,0.514,5,-7.464,0,0.0379,0.0218,0.00989,0.0792,0.189,90.0,audio_features,3nAI0nLDqgxUAFOShFSEXe,https://api.spotify.com/v1/tracks/3nAI0nLDqgxUAFOShFSEXe,https://api.spotify.com/v1/audio-analysis/3nAI0nLDqgxUAFOShFSEXe,260090,4
The End,Just A Gent,spotify:track:3H6ux1aa5TbAyAxsmcl4UX,0.594,0.77,9,-5.251,0,0.0825,0.0412,0.708,0.0779,0.152,80.02,audio_features,3H6ux1aa5TbAyAxsmcl4UX,https://api.spotify.com/v1/tracks/3H6ux1aa5TbAyAxsmcl4UX,https://api.spotify.com/v1/audio-analysis/3H6ux1aa5TbAyAxsmcl4UX,276016,4
My Galaxy (feat. Q'AILA),Eminence,spotify:track:55lHf30LjZf6s9WExmYgkd,0.425,0.768,3,-6.234,0,0.0466,0.00996,0.000141,0.197,0.0954,149.893,audio_features,55lHf30LjZf6s9WExmYgkd,https://api.spotify.com/v1/tracks/55lHf30LjZf6s9WExmYgkd,https://api.spotify.com/v1/audio-analysis/55lHf30LjZf6s9WExmYgkd,291480,4
Skinny Love,Birdy,spotify:track:2hRMHB4ZEYrCBM0d0vVEdq,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,audio_features,2hRMHB4ZEYrCBM0d0vVEdq,https://api.spotify.com/v1/tracks/2hRMHB4ZEYrCBM0d0vVEdq,https://api.spotify.com/v1/audio-analysis/2hRMHB4ZEYrCBM0d0vVEdq,201080,4
Daggers Drawn,The Cat Empire,spotify:track:28EhlRsggHHUOXPUVnbBxE,0.592,0.789,4,-4.901,0,0.0539,0.0977,0.00771,0.022,0.885,129.292,audio_features,28EhlRsggHHUOXPUVnbBxE,https://api.spotify.com/v1/tracks/28EhlRsggHHUOXPUVnbBxE,https://api.spotify.com/v1/audio-analysis/28EhlRsggHHUOXPUVnbBxE,334667,4
Creature,The Cat Empire,spotify:track:5W4UAnPxWpoe1PReLVouC0,0.764,0.744,5,-8.4,1,0.044,0.83,0.303,0.124,0.957,121.99,audio_features,5W4UAnPxWpoe1PReLVouC0,https://api.spotify.com/v1/tracks/5W4UAnPxWpoe1PReLVouC0,https://api.spotify.com/v1/audio-analysis/5W4UAnPxWpoe1PReLVouC0,178960,4
Still Young,The Cat Empire,spotify:track:4q7klA9ggWknZDhHhz9XYp,0.613,0.762,11,-4.679,1,0.0359,0.00727,0.0,0.188,0.743,149.225,audio_features,4q7klA9ggWknZDhHhz9XYp,https://api.spotify.com/v1/tracks/4q7klA9ggWknZDhHhz9XYp,https://api.spotify.com/v1/audio-analysis/4q7klA9ggWknZDhHhz9XYp,258573,4
Bulls,The Cat Empire,spotify:track:61xiR8YCd9dMzfPgRneNmW,0.687,0.632,1,-5.61,1,0.0249,0.00867,0.000591,0.0621,0.962,91.014,audio_features,61xiR8YCd9dMzfPgRneNmW,https://api.spotify.com/v1/tracks/61xiR8YCd9dMzfPgRneNmW,https://api.spotify.com/v1/audio-analysis/61xiR8YCd9dMzfPgRneNmW,206667,4
Oops,Martin Garrix,spotify:track:79IZKAygtVmTcVnJ2mlaIS,0.618,0.535,1,-6.941,1,0.0421,0.00115,0.0,0.377,0.154,128.022,audio_features,79IZKAygtVmTcVnJ2mlaIS,https://api.spotify.com/v1/tracks/79IZKAygtVmTcVnJ2mlaIS,https://api.spotify.com/v1/audio-analysis/79IZKAygtVmTcVnJ2mlaIS,232510,4
Aquatic Stimulation,Haywyre,spotify:track:1z99rgbtTB4CD7OxSYSCkA,0.767,0.876,6,-5.383,1,0.131,0.126,0.083,0.142,0.241,94.994,audio_features,1z99rgbtTB4CD7OxSYSCkA,https://api.spotify.com/v1/tracks/1z99rgbtTB4CD7OxSYSCkA,https://api.spotify.com/v1/audio-analysis/1z99rgbtTB4CD7OxSYSCkA,215868,4
LD004,Haywyre,spotify:track:64kMJtsv6qIrn1hHVbdXy7,0.586,0.551,8,-8.977,0,0.107,0.121,0.123,0.221,0.331,135.134,audio_features,64kMJtsv6qIrn1hHVbdXy7,https://api.spotify.com/v1/tracks/64kMJtsv6qIrn1hHVbdXy7,https://api.spotify.com/v1/audio-analysis/64kMJtsv6qIrn1hHVbdXy7,327120,4
Pendulum,Haywyre,spotify:track:2Is3NyT3w6TnQPDgtjfS1e,0.635,0.699,1,-8.88,1,0.0358,0.0423,0.591,0.0979,0.158,104.967,audio_features,2Is3NyT3w6TnQPDgtjfS1e,https://api.spotify.com/v1/tracks/2Is3NyT3w6TnQPDgtjfS1e,https://api.spotify.com/v1/audio-analysis/2Is3NyT3w6TnQPDgtjfS1e,190295,3
Take Me Home,Pentatonix,spotify:track:3g2t97wd9F3E5OXaer4AuO,0.602,0.148,8,-12.614,1,0.0395,0.726,0.0,0.169,0.431,89.811,audio_features,3g2t97wd9F3E5OXaer4AuO,https://api.spotify.com/v1/tracks/3g2t97wd9F3E5OXaer4AuO,https://api.spotify.com/v1/audio-analysis/3g2t97wd9F3E5OXaer4AuO,176347,4
Midnight,The Cat Empire,spotify:track:3AMfu1e16xtKw621faJjj1,0.632,0.736,5,-8.248,0,0.0352,0.348,0.374,0.077,0.962,89.043,audio_features,3AMfu1e16xtKw621faJjj1,https://api.spotify.com/v1/tracks/3AMfu1e16xtKw621faJjj1,https://api.spotify.com/v1/audio-analysis/3AMfu1e16xtKw621faJjj1,262347,4
Silence,Koven,spotify:track:345rBYlzndHDJ5Qbpc5haw,0.501,0.921,0,-2.076,1,0.0614,0.00245,0.185,0.29,0.134,110.051,audio_features,345rBYlzndHDJ5Qbpc5haw,https://api.spotify.com/v1/tracks/345rBYlzndHDJ5Qbpc5haw,https://api.spotify.com/v1/audio-analysis/345rBYlzndHDJ5Qbpc5haw,346773,4
Let My Heart Be Still,Ade Vincent,spotify:track:3JX0apPWtIMuCa5zUgWsTL,0.781,0.524,2,-12.329,1,0.0346,0.911,0.176,0.614,0.483,115.99,audio_features,3JX0apPWtIMuCa5zUgWsTL,https://api.spotify.com/v1/tracks/3JX0apPWtIMuCa5zUgWsTL,https://api.spotify.com/v1/audio-analysis/3JX0apPWtIMuCa5zUgWsTL,204867,4
Dawn Will Bring Us Death,Varien,spotify:track:0YzMGIGhjjkf4U736xT9Xj,0.521,0.895,1,-5.275,0,0.288,0.00753,0.107,0.48,0.238,75.078,audio_features,0YzMGIGhjjkf4U736xT9Xj,https://api.spotify.com/v1/tracks/0YzMGIGhjjkf4U736xT9Xj,https://api.spotify.com/v1/audio-analysis/0YzMGIGhjjkf4U736xT9Xj,210121,4
TEVA833,Varien,spotify:track:0THVs6maKgGU1DDRz9nZe4,0.763,0.647,7,-6.013,1,0.14,0.0295,0.786,0.16,0.488,123.03,audio_features,0THVs6maKgGU1DDRz9nZe4,https://api.spotify.com/v1/tracks/0THVs6maKgGU1DDRz9nZe4,https://api.spotify.com/v1/audio-analysis/0THVs6maKgGU1DDRz9nZe4,258883,4
My Prayers Have Become Ghosts,Varien,spotify:track:0ZOs4nCIR2cSeHgyyReHD6,0.659,0.907,11,-5.363,1,0.0607,0.0066,0.856,0.127,0.388,119.986,audio_features,0ZOs4nCIR2cSeHgyyReHD6,https://api.spotify.com/v1/tracks/0ZOs4nCIR2cSeHgyyReHD6,https://api.spotify.com/v1/audio-analysis/0ZOs4nCIR2cSeHgyyReHD6,264099,4
"Hear, Smith of Heavens",Varien,spotify:track:08bmbLl8FWBGb5JielTfxE,0.177,0.453,1,-11.177,0,0.0361,0.984,0.00259,0.117,0.0817,134.397,audio_features,08bmbLl8FWBGb5JielTfxE,https://api.spotify.com/v1/tracks/08bmbLl8FWBGb5JielTfxE,https://api.spotify.com/v1/audio-analysis/08bmbLl8FWBGb5JielTfxE,131413,3
Fixed_,Karma Fields,spotify:track:193pyP2Uj31p1lSTw2gHU8,0.623,0.625,2,-9.168,1,0.0371,0.00777,0.842,0.109,0.0383,120.026,audio_features,193pyP2Uj31p1lSTw2gHU8,https://api.spotify.com/v1/tracks/193pyP2Uj31p1lSTw2gHU8,https://api.spotify.com/v1/audio-analysis/193pyP2Uj31p1lSTw2gHU8,299133,4
One Step Forward,Direct,spotify:track:0rIzxXL4cQzPBFtF2NsOSI,0.436,0.277,1,-18.599,0,0.0518,0.97,0.88,0.108,0.0351,100.024,audio_features,0rIzxXL4cQzPBFtF2NsOSI,https://api.spotify.com/v1/tracks/0rIzxXL4cQzPBFtF2NsOSI,https://api.spotify.com/v1/audio-analysis/0rIzxXL4cQzPBFtF2NsOSI,199227,4
Trust in Me,Direct,spotify:track:2wUNYuztAnmnOFYy15Wruc,0.547,0.397,3,-10.307,0,0.0303,0.12,0.000603,0.143,0.108,74.971,audio_features,2wUNYuztAnmnOFYy15Wruc,https://api.spotify.com/v1/tracks/2wUNYuztAnmnOFYy15Wruc,https://api.spotify.com/v1/audio-analysis/2wUNYuztAnmnOFYy15Wruc,270800,4
Okay,Tokyo Machine,spotify:track:0uErik8UIYgLhDF0FTUkKa,0.807,0.825,0,-4.035,1,0.0797,0.00292,0.033,0.0282,0.591,128.016,audio_features,0uErik8UIYgLhDF0FTUkKa,https://api.spotify.com/v1/tracks/0uErik8UIYgLhDF0FTUkKa,https://api.spotify.com/v1/audio-analysis/0uErik8UIYgLhDF0FTUkKa,187031,4
Hook Up,Butterfingers,spotify:track:5qxgPazA7m6dx84istG1Nd,0.825,0.696,0,-6.132,1,0.0395,0.111,0.0,0.0759,0.821,105.074,audio_features,5qxgPazA7m6dx84istG1Nd,https://api.spotify.com/v1/tracks/5qxgPazA7m6dx84istG1Nd,https://api.spotify.com/v1/audio-analysis/5qxgPazA7m6dx84istG1Nd,235453,4
Mandarines,Butterfingers,spotify:track:4zMv7t073Y96qfgYO3JumE,0.533,0.881,11,-5.241,0,0.239,0.0231,0.0,0.21,0.748,169.753,audio_features,4zMv7t073Y96qfgYO3JumE,https://api.spotify.com/v1/tracks/4zMv7t073Y96qfgYO3JumE,https://api.spotify.com/v1/audio-analysis/4zMv7t073Y96qfgYO3JumE,237507,4
Everytime,Butterfingers,spotify:track:2AXmW1kCJWjAvuzHqASJ0E,0.69,0.865,6,-5.174,1,0.2,0.175,0.0,0.0755,0.695,90.012,audio_features,2AXmW1kCJWjAvuzHqASJ0E,https://api.spotify.com/v1/tracks/2AXmW1kCJWjAvuzHqASJ0E,https://api.spotify.com/v1/audio-analysis/2AXmW1kCJWjAvuzHqASJ0E,262547,4
Yo Mama,Butterfingers,spotify:track:5PdUFOY5XmebdMFYNAUlpP,0.792,0.718,7,-5.43,1,0.0362,0.0425,0.0,0.295,0.861,120.046,audio_features,5PdUFOY5XmebdMFYNAUlpP,https://api.spotify.com/v1/tracks/5PdUFOY5XmebdMFYNAUlpP,https://api.spotify.com/v1/audio-analysis/5PdUFOY5XmebdMFYNAUlpP,200107,4
Girl From Gore,Butterfingers,spotify:track:2p2YadUN4pd5VGqyBycEHR,0.583,0.907,6,-4.454,0,0.0472,0.00173,7.59e-05,0.0964,0.892,105.527,audio_features,2p2YadUN4pd5VGqyBycEHR,https://api.spotify.com/v1/tracks/2p2YadUN4pd5VGqyBycEHR,https://api.spotify.com/v1/audio-analysis/2p2YadUN4pd5VGqyBycEHR,141387,4
Is It Just Me,Butterfingers,spotify:track:30woJBTjgOkGO1dZfndYEP,0.686,0.883,8,-4.295,1,0.15,0.0684,1.31e-06,0.0442,0.808,96.004,audio_features,30woJBTjgOkGO1dZfndYEP,https://api.spotify.com/v1/tracks/30woJBTjgOkGO1dZfndYEP,https://api.spotify.com/v1/audio-analysis/30woJBTjgOkGO1dZfndYEP,217280,4
Hurt Me So Bad,Butterfingers,spotify:track:2xFYOo31oGR9Cago9r7h8t,0.578,0.718,4,-8.571,0,0.12,0.24,2.85e-05,0.211,0.449,149.982,audio_features,2xFYOo31oGR9Cago9r7h8t,https://api.spotify.com/v1/tracks/2xFYOo31oGR9Cago9r7h8t,https://api.spotify.com/v1/audio-analysis/2xFYOo31oGR9Cago9r7h8t,314053,4
Sorry,Butterfingers,spotify:track:6USQStbdVSUcjvfs9Jp8kC,0.759,0.869,11,-5.713,1,0.0582,0.0481,5.99e-05,0.398,0.249,120.026,audio_features,6USQStbdVSUcjvfs9Jp8kC,https://api.spotify.com/v1/tracks/6USQStbdVSUcjvfs9Jp8kC,https://api.spotify.com/v1/audio-analysis/6USQStbdVSUcjvfs9Jp8kC,174160,4
Piss On Ya,Butterfingers,spotify:track:5vnkYRCOvqt2C2EBmVA72C,0.654,0.889,4,-6.627,0,0.136,0.0147,2.37e-05,0.423,0.569,90.007,audio_features,5vnkYRCOvqt2C2EBmVA72C,https://api.spotify.com/v1/tracks/5vnkYRCOvqt2C2EBmVA72C,https://api.spotify.com/v1/audio-analysis/5vnkYRCOvqt2C2EBmVA72C,336813,4
Smell You On Me,Butterfingers,spotify:track:1qkBLfs7R22p1x31DcKNqr,0.323,0.92,7,-5.673,0,0.271,0.00433,0.257,0.178,0.512,144.979,audio_features,1qkBLfs7R22p1x31DcKNqr,https://api.spotify.com/v1/tracks/1qkBLfs7R22p1x31DcKNqr,https://api.spotify.com/v1/audio-analysis/1qkBLfs7R22p1x31DcKNqr,136920,4
Snatch And Grab,Butterfingers,spotify:track:6057Q30r3SEzfpocuvCkjw,0.791,0.842,10,-5.595,0,0.0693,0.0296,7.54e-05,0.642,0.634,120.018,audio_features,6057Q30r3SEzfpocuvCkjw,https://api.spotify.com/v1/tracks/6057Q30r3SEzfpocuvCkjw,https://api.spotify.com/v1/audio-analysis/6057Q30r3SEzfpocuvCkjw,232293,4
I Love Work,Butterfingers,spotify:track:6vQJrU2AxoRRgkzIeH8zo1,0.734,0.807,11,-4.027,0,0.104,0.0996,0.0,0.482,0.798,129.96,audio_features,6vQJrU2AxoRRgkzIeH8zo1,https://api.spotify.com/v1/tracks/6vQJrU2AxoRRgkzIeH8zo1,https://api.spotify.com/v1/audio-analysis/6vQJrU2AxoRRgkzIeH8zo1,252933,4
Speak Your Mind,Butterfingers,spotify:track:6fdm21t2pR2jGBVqgotaOm,0.661,0.824,11,-5.678,0,0.0573,0.00525,2.12e-05,0.101,0.864,97.489,audio_features,6fdm21t2pR2jGBVqgotaOm,https://api.spotify.com/v1/tracks/6fdm21t2pR2jGBVqgotaOm,https://api.spotify.com/v1/audio-analysis/6fdm21t2pR2jGBVqgotaOm,221747,3
Step Out,José González,spotify:track:5tag2auodYnO3vBlFgGt42,0.433,0.576,8,-10.311,1,0.0455,0.0128,0.409,0.147,0.159,144.908,audio_features,5tag2auodYnO3vBlFgGt42,https://api.spotify.com/v1/tracks/5tag2auodYnO3vBlFgGt42,https://api.spotify.com/v1/audio-analysis/5tag2auodYnO3vBlFgGt42,241573,4
Far Away,Junip,spotify:track:664KtH3WYiiy5u7MbN92ml,0.412,0.733,2,-8.701,1,0.0345,0.525,0.661,0.262,0.417,167.556,audio_features,664KtH3WYiiy5u7MbN92ml,https://api.spotify.com/v1/tracks/664KtH3WYiiy5u7MbN92ml,https://api.spotify.com/v1/audio-analysis/664KtH3WYiiy5u7MbN92ml,162293,4
