Song,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
CoCo - Coucheron Remix,O.T. Genasis,spotify:track:70YxEi71SAYgrDtQdjvRZk,0.85,0.632,6,-7.442,0,0.0967,0.0169,0.0293,0.271,0.796,120.004,audio_features,70YxEi71SAYgrDtQdjvRZk,https://api.spotify.com/v1/tracks/70YxEi71SAYgrDtQdjvRZk,https://api.spotify.com/v1/audio-analysis/70YxEi71SAYgrDtQdjvRZk,205576,4
Rembihnútur,Sigur Rós,spotify:track:7aC6WOv6wpHOT9aNpRznGu,0.227,0.462,5,-7.874,0,0.0427,0.0405,0.947,0.0858,0.359,141.311,audio_features,7aC6WOv6wpHOT9aNpRznGu,https://api.spotify.com/v1/tracks/7aC6WOv6wpHOT9aNpRznGu,https://api.spotify.com/v1/audio-analysis/7aC6WOv6wpHOT9aNpRznGu,304987,4
Yfirborð,Sigur Rós,spotify:track:0QrHBtkiICzUT5bsLyNqyo,0.318,0.61,7,-9.722,1,0.0429,0.115,0.875,0.642,0.0545,130.169,audio_features,0QrHBtkiICzUT5bsLyNqyo,https://api.spotify.com/v1/tracks/0QrHBtkiICzUT5bsLyNqyo,https://api.spotify.com/v1/audio-analysis/0QrHBtkiICzUT5bsLyNqyo,259347,4
Shot Through The Heart,Bon Jovi,spotify:track:3zuiTd0K2pbHXKwdteSxFG,0.437,0.936,9,-5.1,0,0.0677,0.038,0.000269,0.0992,0.411,153.507,audio_features,3zuiTd0K2pbHXKwdteSxFG,https://api.spotify.com/v1/tracks/3zuiTd0K2pbHXKwdteSxFG,https://api.spotify.com/v1/audio-analysis/3zuiTd0K2pbHXKwdteSxFG,265933,4
Breakfast,Le Le,spotify:track:1YRoLyeMGUSkwPlVgq1T0k,0.805,0.909,9,-8.086,0,0.0971,0.00251,0.0617,0.0449,0.45,124.024,audio_features,1YRoLyeMGUSkwPlVgq1T0k,https://api.spotify.com/v1/tracks/1YRoLyeMGUSkwPlVgq1T0k,https://api.spotify.com/v1/audio-analysis/1YRoLyeMGUSkwPlVgq1T0k,340831,4
Hello,Adele,spotify:track:1MDoll6jK4rrk2BcFRP5i7,0.471,0.431,5,-6.129,0,0.0342,0.329,0.0,0.0854,0.289,157.98,audio_features,1MDoll6jK4rrk2BcFRP5i7,https://api.spotify.com/v1/tracks/1MDoll6jK4rrk2BcFRP5i7,https://api.spotify.com/v1/audio-analysis/1MDoll6jK4rrk2BcFRP5i7,295502,4
Fire Water Burn,Bloodhound Gang,spotify:track:6EdUE6TbcVzxfDnBZPTAg5,0.687,0.565,7,-9.613,1,0.0316,0.0682,0.599,0.101,0.613,97.084,audio_features,6EdUE6TbcVzxfDnBZPTAg5,https://api.spotify.com/v1/tracks/6EdUE6TbcVzxfDnBZPTAg5,https://api.spotify.com/v1/audio-analysis/6EdUE6TbcVzxfDnBZPTAg5,291800,4
Abandon Window,Jon Hopkins,spotify:track:6ONMIrYmLAF2523vlCQclj,0.169,0.187,6,-25.116,1,0.0484,0.82,0.804,0.0974,0.136,127.614,audio_features,6ONMIrYmLAF2523vlCQclj,https://api.spotify.com/v1/tracks/6ONMIrYmLAF2523vlCQclj,https://api.spotify.com/v1/audio-analysis/6ONMIrYmLAF2523vlCQclj,297493,4
Run Boy Run,Woodkid,spotify:track:2YhapA5E1qTZ1Ykw9Y86ql,0.506,0.959,5,-5.264,0,0.102,0.084,0.000655,0.135,0.34,133.996,audio_features,2YhapA5E1qTZ1Ykw9Y86ql,https://api.spotify.com/v1/tracks/2YhapA5E1qTZ1Ykw9Y86ql,https://api.spotify.com/v1/audio-analysis/2YhapA5E1qTZ1Ykw9Y86ql,213267,4
Hvite menn som pusher 50,Karpe,spotify:track:7vKmrZGW8opHdJVZbyCe1i,0.629,0.783,0,-5.309,1,0.157,0.109,4.42e-06,0.356,0.475,90.05,audio_features,7vKmrZGW8opHdJVZbyCe1i,https://api.spotify.com/v1/tracks/7vKmrZGW8opHdJVZbyCe1i,https://api.spotify.com/v1/audio-analysis/7vKmrZGW8opHdJVZbyCe1i,236560,4
Deilig Er Jorden,Oslo Gospel Choir,spotify:track:3HRZiDnIkDHWC55oMxeLdo,0.319,0.509,2,-17.384,1,0.0765,0.862,0.586,0.909,0.227,135.104,audio_features,3HRZiDnIkDHWC55oMxeLdo,https://api.spotify.com/v1/tracks/3HRZiDnIkDHWC55oMxeLdo,https://api.spotify.com/v1/audio-analysis/3HRZiDnIkDHWC55oMxeLdo,239120,4
Et Juleevangelium,Klovner I Kamp,spotify:track:1w6ZyTCMk4dxso2t4WoHKA,0.808,0.896,1,-3.589,1,0.178,0.315,0.0,0.101,0.782,93.016,audio_features,1w6ZyTCMk4dxso2t4WoHKA,https://api.spotify.com/v1/tracks/1w6ZyTCMk4dxso2t4WoHKA,https://api.spotify.com/v1/audio-analysis/1w6ZyTCMk4dxso2t4WoHKA,231653,4
Hello Lover,Empires,spotify:track:2KJOkXUNqi1fmeQvYLaRyi,0.415,0.871,6,-5.117,0,0.117,0.0112,0.232,0.109,0.178,118.858,audio_features,2KJOkXUNqi1fmeQvYLaRyi,https://api.spotify.com/v1/tracks/2KJOkXUNqi1fmeQvYLaRyi,https://api.spotify.com/v1/audio-analysis/2KJOkXUNqi1fmeQvYLaRyi,255064,4
Teardrop,Massive Attack,spotify:track:67Hna13dNDkZvBpTXRIaOJ,0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,audio_features,67Hna13dNDkZvBpTXRIaOJ,https://api.spotify.com/v1/tracks/67Hna13dNDkZvBpTXRIaOJ,https://api.spotify.com/v1/audio-analysis/67Hna13dNDkZvBpTXRIaOJ,330773,4
Gay Bar,Electric Six,spotify:track:6s9iK4Hf5nLhdDMCnkDV3T,0.4,0.975,7,-5.237,1,0.0987,0.000114,0.000624,0.152,0.32,171.963,audio_features,6s9iK4Hf5nLhdDMCnkDV3T,https://api.spotify.com/v1/tracks/6s9iK4Hf5nLhdDMCnkDV3T,https://api.spotify.com/v1/audio-analysis/6s9iK4Hf5nLhdDMCnkDV3T,140907,4
Pickles,Peaches,spotify:track:5B9XiJvYFOk3lRoMFsgkfA,0.796,0.707,7,-6.11,1,0.0834,0.132,0.145,0.0935,0.397,108.008,audio_features,5B9XiJvYFOk3lRoMFsgkfA,https://api.spotify.com/v1/tracks/5B9XiJvYFOk3lRoMFsgkfA,https://api.spotify.com/v1/audio-analysis/5B9XiJvYFOk3lRoMFsgkfA,232760,4
The Penetrators 2016 - SKAM Season 1,Hanzee,spotify:track:3zDQYjG56SSDmETEFkcRoP,0.651,0.779,0,-5.412,0,0.206,0.00606,0.0,0.442,0.473,130.099,audio_features,3zDQYjG56SSDmETEFkcRoP,https://api.spotify.com/v1/tracks/3zDQYjG56SSDmETEFkcRoP,https://api.spotify.com/v1/audio-analysis/3zDQYjG56SSDmETEFkcRoP,213726,4
